"subject","V.1","V.2","V.3"
15000,31,39,47
15001,10,15,10
15002,35,67,22
15003,29,45,28
15005,10,23,39
15008,9,22,6
15009,16,23,22
15010,10,8,15
15011,19,27,14
15013,29,18,25
15014,8,12,32
15015,15,15,13
15017,32,38,34
15018,20,8,16
15020,21,32,18
15022,8,28,10
15023,7,24,14
28211,21,25,21
28215,21,25,65
28220,11,8,9
28221,13,34,15
28230,32,26,36
28239,7,21,12
28241,23,49,28
28242,35,43,50
28243,13,21,26
28245,10,19,9
28284,37,49,42
28305,64,81,79
28306,12,16,9
28307,8,10,21
28310,11,25,9
28318,10,18,35
28325,8,10,8
28326,15,28,32
28328,29,19,12
28329,15,31,29
28330,37,39,46
